Time,FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,AccX,AccY,AccZ,Gyro1,Gyro2,Gyro3,Battery,Counter,Validation
559405.8115258,310562.40625,302031.53125,322555.90625,315713.75,335541.625,301904.84375,300269.40625,301281.6875,-0.091796875,0.729248046875,-0.708984375,-14.556883811950684,5.950927257537842,3.204345464706421,100.0,168070.0,1.0
559405.8205762,310532.4375,300473.875,320919.75,314727.59375,329174.25,299595.90625,298163.625,300258.6875,-0.09228515625,0.73193359375,-0.703857421875,-15.441893577575684,7.995604991912842,2.838134527206421,100.0,168071.0,1.0
559405.8205881,310289.96875,299881.75,320192.875,314497.5625,325327.6875,298796.15625,297160.90625,299931.625,-0.095703125,0.7333984375,-0.7001953125,-16.143796920776367,9.674071311950684,2.929687261581421,100.0,168072.0,1.0
559405.8205901,310179.28125,301117.4375,321397.96875,315313.65625,329293.25,300594.0625,298697.0,300698.9375,-0.09619140625,0.736328125,-0.697021484375,-16.479490280151367,10.833739280700684,2.960204839706421,100.0,168073.0,1.0
559405.8255234,310294.875,302510.65625,322895.28125,316066.375,335914.625,302587.8125,300789.0625,301511.0,-0.094970703125,0.734619140625,-0.69580078125,-16.601560592651367,11.749266624450684,3.112792730331421,100.0,168074.0,1.0
559405.8255362,310484.0625,302110.125,322567.96875,315647.3125,335852.0625,301930.34375,300536.90625,301203.0,-0.09619140625,0.735595703125,-0.69384765625,-16.540525436401367,12.176512718200684,3.356933355331421,100.0,168075.0,1.0
559405.8278934,310457.96875,300518.0625,320917.40625,314671.28125,329380.25,299583.9375,298382.9375,300243.5,-0.098388671875,0.736572265625,-0.687255859375,-16.387937545776367,12.237547874450684,3.631591558456421,100.0,168076.0,1.0
559405.8304292,310223.28125,299896.6875,320184.8125,314448.46875,325482.71875,298761.65625,297314.6875,299947.1875,-0.09716796875,0.734619140625,-0.686279296875,-16.204832077026367,12.145995140075684,3.906249761581421,100.0,168077.0,1.0
559405.8390473,310131.625,301129.5,321413.0,315292.75,329511.5,300575.8125,298823.71875,300715.03125,-0.097412109375,0.73681640625,-0.684326171875,-15.991209983825684,11.627196311950684,4.180907726287842,100.0,168078.0,1.0
559405.8413898,310258.40625,302521.84375,322934.34375,316050.03125,336253.65625,302594.71875,300945.25,301510.84375,-0.098388671875,0.736083984375,-0.684326171875,-15.747069358825684,10.711668968200684,4.669188976287842,100.0,168079.0,1.0
559405.8414051,310418.375,302069.34375,322563.5,315587.875,336217.5625,301913.875,300667.625,301164.28125,-0.097412109375,0.736572265625,-0.6826171875,-15.502928733825684,9.704588890075684,4.943847179412842,100.0,168080.0,1.0
559405.8479827,310365.53125,300412.65625,320851.71875,314573.1875,329711.125,299543.625,298472.34375,300189.125,-0.09765625,0.73779296875,-0.68359375,-15.106200218200684,8.575438499450684,5.157470226287842,100.0,168081.0,1.0
559405.8504887,310129.40625,299763.1875,320090.75,314334.21875,325789.75,298717.40625,297399.71875,299889.96875,-0.09521484375,0.73779296875,-0.682373046875,-14.892577171325684,7.446288585662842,5.432128429412842,100.0,168082.0,1.0
